Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2023-0268-CHN,2023,0268,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yunnan Province,,,,,,,,5,Richter,,,23:27,,2023,5,2,2023,5,2,,10,8400,,8410,,,,,65000,,,,,,
2023-0021-CHN,2023,0021,,Natural,Hydrological,Landslide,Avalanche,,,China,CHN,Eastern Asia,Asia,"Nyingchi City (Nyingchi County, Autonomous Region of Tibet)",,,,,,,,,,,,,,2023,1,17,2023,1,17,28,5,53,,58,,,,,,,,,,,
2023-0357-CHN,2023,0357,,Natural,Hydrological,Landslide,Landslide,,,China,CHN,Eastern Asia,Asia,"Wenchuan County, Miansi Municipality and the Weizhou Municipality ((Sichuan Province)",Heavy rains,,,,,,,,,,,,,2023,6,27,2023,6,28,7,,900,,900,,,,,,,,,,,
2023-0410-GEO,2023,0410,FF-2023-000107,Natural,Hydrological,Flood,Flash flood,,,Georgia,GEO,Western Asia,Asia,"Gurjaani, Chumlaki, Tchandari, Vejini, Dzirkoki, Kolagi, Bakurtsikhe, and Kodalo (Gurjaani municipality); Chikhareshi,Jakhunderi, Nakisheri, Skhedi, Upper Shkedi, Akhalsheni, Panaga, and Lekosadeni village (Lentekhi)",,Hail,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2023,6,15,2023,6,16,,,58723,,58723,,,,,,,,,,,
2023-0331-IND,2023,0331,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Biparjoy',India,IND,Southern Asia,Asia,"Barmer, Jalore, Sirohi, Pali, and Rajmasand (Rajasthan); Gujarat",,Flood,"Slide (land, mud, snow, rock)",,,,,125,Kph,,,,,2023,6,19,2023,6,21,7,,10000,,10000,,,,,,,,2,,17837;17849;17855;17858;70240,"Barmer, Jalor, Pali, Rajsamand, Sirohi (Adm2)."
2023-0464-PHL,2023,0464,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Doksuri' (Egay),Philippines (the),PHL,South-Eastern Asia,Asia,Luzon Isl.,,Flood,"Slide (land, mud, snow, rock)",,,,,240,Kph,,,,,2023,7,21,2023,7,21,33,12,500000,,500012,,,,,,,,,,,
2023-0161-IND,2023,0161,,Natural,Meteorological,Storm,Convective storm,Severe storm,,India,IND,Southern Asia,Asia,"Khandwa, Sagar, Satna, Raisen, Narmadapura, Dhar, Ratlam, Ashok Nagar and Damoh (Madhya Pradesh State)",,Lightening,Hail,,,,,,Kph,,,,,2023,3,17,2023,3,21,16,14,,,14,,,,,,,,1,70079,,Madhya Pradesh (Adm1).
2023-0002-PHL,2023,0002,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Lanao del Norte Province (Northern Mindanao Region); Davao de Oro and Davao del Norte provinces; Maguindanao (BARMM Region); Mimaropa Region; Cagayan Valley, Central Luzon, Calabarzon, Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Soccsksargen, Caraga",Heavy rains,"Slide (land, mud, snow, rock)",Storm,,,,,,Km2,,,,,2023,1,1,2023,1,29,51,11,2000000,,2000011,,,,,20000,,,1;2,2357;2361;2362;2364;2368;67159;67162;67165;67166,24267;24272;67174,"Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon), Region IX (Zamboanga Peninsula), Region V (Bicol region), Region VI (Western Visayas), Region VIII (Eastern Visayas), Region XII (Soccsksargen), Region XIII (Caraga) (Adm1). Davao del Norte, Lanao Del Norte, Maguindanao (Adm2)."
2023-0334-KAZ,2023,0334,,Natural,Climatological,Wildfire,,,,Kazakhstan,KAZ,Central Asia,Asia,"Semei Ormany, Abai region",,Heat wave,Drought,,,,,,Km2,,,,,2023,6,8,2023,6,15,14,,300,,300,,,,,,,,,,,
2023-0294-MMR,2023,0294,TEC-2023-000069/TC-2023-000071,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Mocha',Myanmar,MMR,South-Eastern Asia,Asia,"Sittwe, Mrauk-U, Kyauktaw, or Minbya (Rakhine state); Chin, Magway, Sagaing, Ayeyarwady, Mandalay states",,Surge,Flood,,,,,,Kph,,,,,2023,5,14,2023,5,15,145,131,912277,,912408,,,,,,,,1;2,2125;2126;2130;2131;2133,41811;41813,"Ayeyawaddy, Chin, Magway, Mandalay, Sagaing (Adm1). Kyaukpyu, Sittwe (Adm2)."
